event_id,student_id,event_type,gate_type,location,timestamp
2ec20e87-acb5-45ff-be28-941e8c049e66,2509738,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:01:44
8dac1f45-d888-4573-a137-14166a66a7ce,2509652,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:03:49
ab9072fd-c4c2-43f4-8805-38e8bcf4f0fd,2509767,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:06:27
3c66ec27-f995-4c11-9a2e-ad261ad002b1,2509738,ENTRY,ROOM_GATE,1B,2026-03-05T08:06:44
71140900-f9de-4597-aafd-386d134ff9b8,2509644,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:10:32
1bb40340-f53e-42dc-a0e7-36db85b70391,2509794,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:15:24
0aab1a7f-35d8-4678-a4c6-0c2552de7259,2509767,ENTRY,ROOM_GATE,2C,2026-03-05T08:16:27
84c7854a-fddb-42c8-a681-4fe7c6fb3763,2509662,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:17:47
188de543-9011-41d6-8401-4cb0176c4f31,2509601,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:18:01
d7b755e9-44c0-414b-a417-cb3dfa3b286a,2509834,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:18:58
554a80b6-e10c-44c0-a1e8-a6ca786a181a,2509644,ENTRY,ROOM_GATE,1E,2026-03-05T08:21:32
0b345877-6e63-41f1-bb6d-90ea6ad8abc2,2509617,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:21:40
cec2006b-f82b-4192-8fec-b2b47550ff08,2509784,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:21:58
d6d27548-dc21-4498-b39a-fa35fa19c1a6,2509849,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:26:25
2880756e-c4ee-49a8-ba7b-98b0b21be6e9,2509686,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:29:07
fb1586d1-79dc-480c-821f-ea41377a7c3e,2509794,ENTRY,ROOM_GATE,1B,2026-03-05T08:29:24
1fd04e01-aaf9-4f79-8311-bd834a214c4c,2509638,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:30:59
b3ed34d9-cb47-4238-8c4d-adab79a10578,2509623,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:31:19
8f7d837c-2b43-4288-9a30-6e56e4209409,2509601,ENTRY,ROOM_GATE,1F,2026-03-05T08:33:01
3bf6b42c-1d99-433e-83ab-a6e72a6aa13a,2509849,ENTRY,ROOM_GATE,2D,2026-03-05T08:33:25
3b2b41af-c677-4c42-8c7e-faa52a56a5b8,2509657,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:35:47
8954bb66-fdf2-4879-94b3-8122d28c33ce,2509623,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:35:58
0ce24dd2-825e-4ec5-91aa-99961601c9bb,2509738,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:36:24
f7e6f28d-88aa-4bca-81aa-3e26526be936,2509790,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:36:33
b1f58c73-f962-4b9c-853f-01ff2c937542,2509611,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:36:58
c43a1966-c003-4f7d-96b0-06b4eb76c897,2509628,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:41:20
