event_id,student_id,event_type,gate_type,location,timestamp
60e2b8f1-55a1-4991-b617-b304eec9bb38,2509811,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:00:07
26ca041c-1183-411d-935a-39e7c76efa46,2509820,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:00:35
4a5d07ba-cc3b-47d4-aa75-4623c97c9fea,2509735,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:00:41
ccf0df86-5c8e-4b39-af4b-f178a569e725,2509606,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:00:59
65964fcd-be61-48ad-8abb-a750494e7bed,2509823,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:02:08
80d1e0a9-3761-4bec-abe1-47382e285b7c,2509731,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:02:29
5a018c31-3174-421b-8289-ecf03a9a1e91,2509709,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:03:03
a1f55c16-1745-4438-9129-650c662af730,2509804,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:03:44
8b71132b-1fd7-4830-b429-41f6d2352171,2509833,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:03:49
aebbecaf-729e-457b-9908-be49f0876a30,2509662,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:04:20
ac382fc4-7f3e-4c4d-85d2-a473d7c14234,2509609,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:04:45
1878754f-e551-41d9-96ae-cb2e6ed5515b,2509708,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:05:51
2aa6d2b5-6055-4bcf-a0ba-1fe556b9568f,2509825,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:06:41
d0d42f1a-bb99-47a7-b575-6a95369aa295,2509644,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:07:09
a2e95017-fbc8-4fe3-aea1-99a9e4de28ab,2509602,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:07:13
4cdb4ec9-ea7a-46f9-936b-22f791f93972,2509731,ENTRY,ROOM_GATE,2A,2026-03-05T08:07:29
8c0663bd-34e1-4440-9fda-2fca0172de4f,2509748,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:09:03
e1329f9e-84ee-401e-93b9-ca6fe5a4b3b0,2509811,ENTRY,ROOM_GATE,2B,2026-03-05T08:09:07
7b86e8a2-24b3-48ef-8b07-b4a332e7fe22,2509616,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:09:13
b60dd1cd-27d1-4a44-9cf6-f1ecd8083269,2509691,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:09:29
045654e8-2659-4acc-95ec-a0019e42e645,2509800,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:09:33
9af6aebd-e07b-4935-bad5-9a954df83f7b,2509663,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:09:50
2b32f973-a539-4c3f-8d04-c281cb2c3ade,2509651,ENTRY,MAIN_GATE,MAIN_HALL,2026-03-05T08:10:16
